1 PEGASI,,,,,,,0.5508,12.5169,4242,10204,K,1,III,cat
10 PERSEI,,,,,,,4.207,3.1064,24127,828,B,2,I,cat
12 OPHIUCHI,,,,,,,0.8125,0.8726,5071,400,K,0,V,cat
12 PERSEI,,,,,,,1.6406,1.377,7796,2640,F,9,V,cat
132 TAURI,,,,,,,0.8594,26.0719,4474,10510,G,9,III,cat
15 ORIONIS,,,,,,,1.3125,8.1718,6345,2016,F,0,III,cat
16 TAU-4 ERIDANI,,,,,,,0.4375,78.673,2582,1276,M,3,III,cat
17 DRACONIS,,,,,,,4.2695,2.5216,13969,2,B,9,V,cat
19 PUPPIS,,,,,,,1.0039,9.2929,4524,3492,G,8,III,cat
20 CEPHEI,,,,,,,0.5312,17.2471,3832,10432,K,4,III,cat
23 G. CARINAE,,,,,,,0.4219,69.5162,2871,3044,M,1,III,cat
23 H. CAMELOPARDALIS,,,,,,,1.207,1.1403,6382,4448,F,7,V,cat
27 PI-1 PEGASI,,,,,,,1.0195,10.3659,4491,1858,G,8,III,cat
28 GEMINORUM,,,,,,,0.4922,23.3024,3992,11508,K,3,III,cat
29 PI PEGASI,,,,,,,1.043,10.8727,5648,9366,F,5,III,cat
2MASS J06325551+0436496,,,,,,,0.418,0.5806,3289,3696,M,5,V,cat
2MASS J06410285+1007119,,,,,,,0.2773,0.4516,2563,10194,M,5,V,cat
31 PERSEI,,,,,,,5.5625,2.9891,16925,878,B,5,V,cat
32 C PISCIUM,,,,,,,1.6836,1.378,7964,1664,F,1,V,cat
34 PERSEI,,,,,,,6.418,3.2248,18223,470,B,3,V,cat
35 SIGMA PERSEI,,,,,,,0.5781,28.2577,4021,10204,K,3,III,cat
39 DELTA PERSEI,,,,,,,15.1914,3.8154,17891,728,B,5,III,cat
39 SERPENTIS,,,,,,,1,0.9821,5706,8120,G,0,V,cat
4 KAPPA LEPORIS,,,,,,,13.1836,5.9128,12509,308,B,7,III,cat
42 HERCULIS,,,,,,,0.2578,55.1415,2754,10032,M,2,III,cat
44 GEMINORUM,,,,,,,8.0859,3.1041,8785,2,B,9,III,cat
46 C DRACONIS,,,,,,,1.5938,4.4463,8454,3208,A,0,III,cat
47 OMICRON DRACONIS,,,,,,,0.9414,19.6393,4420,7908,G,9,III,cat
5 GAMMA EQUULEI,,,,,,,1.2734,3.2703,6272,2552,F,0,III,cat
54 AURIGAE,,,,,,,18,7,35200,788,B,7,V,cat
59 ORIONIS,,,,,,,2.9727,2.0125,11625,1096,A,8,V,cat
69 LAMBDA ERIDANI,,,,,,,15.2227,2.1606,22406,196,B,2,III,cat
8 VULPECULAE,,,,,,,0.6016,17.8197,4327,9220,K,0,III,cat
87 MU CETI,,,,,,,1.7031,2.7381,6377,1894,A,9,III,cat
ACIHAUT,,,,,,,0.3906,0.5552,3287,5296,M,6,V,cat
ADITI,,,,,,,2.2422,1.6877,9728,708,A,0,V,cat
AEGILIPS,,,,,,,0.6094,0.7315,4344,9970,K,5,V,cat
AGANIPPE,,,,,,,0.5664,0.7063,3978,8064,K,6,V,cat
ALAUNUS,,,,,,,0.2305,0.4039,2282,11350,M,3,V,cat
ALEXANDRINUS,,,,,,,0.8516,0.9034,5182,744,G,0,V,cat
ALIGNAK,,,,,,,0.9219,0.9539,5419,12826,G,5,V,cat
ALNITAK,,,,,,,26.6211,3.3144,30716,690,O,9,I,cat
ALPHA CHAMELEONTIS,,,,,,,1.793,1.4344,8270,1720,F,5,V,cat
ALPHA MICROSCOPII,,,,,,,0.8203,18.4869,4514,11224,G,8,III,cat
ALPHA MUSCAE,,,,,,,9.0547,4.0559,22498,324,B,2,V,cat
ANU,,,,,,,0.8359,0.8773,5183,344,G,9,V,cat
ANYANWU,,,,,,,0.793,0.8485,5058,12176,K,0,V,cat
ARQUE,,,,,,,1.0078,1.0145,5959,11736,G,4,V,cat
ARRAKIS,,,,,,,1.7422,1.4026,7995,2352,F,6,V,cat
ATANUA,,,,,,,0.5312,0.6814,3917,6964,K,2,V,cat
AULIN,,,,,,,0.6953,0.8144,4664,6934,K,7,V,cat
AURAI,,,,,,,0.4297,0.6058,3506,2572,M,7,V,cat
AYMIAY,,,,,,,0.9766,1.011,5721,12874,G,5,V,cat
BD-05 2489,,,,,,,1.0508,1.0208,5983,1376,G,1,V,cat
BD-06 4663,,,,,,,0.4844,0.6473,3746,5226,M,1,V,cat
BD-09 40,,,,,,,0.5156,0.6736,3742,4456,K,7,V,cat
BD-11 192,,,,,,,0.4648,0.6078,3618,12004,M,0,V,cat
BD-18 394,,,,,,,0.793,0.8867,5083,1726,K,3,V,cat
